"filename", "language", "JSON", "JSON with Comments", "JavaScript JSX", "TypeScript", "Dotenv", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\shet_\our-final-app\README.md", "Markdown", 0, 0, 0, 0, 0, 31, 0, 0, 20, 51
"c:\Users\shet_\our-final-app\app.json", "JSON with Comments", 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\shet_\our-final-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"c:\Users\shet_\our-final-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\shet_\our-final-app\app\find-mentor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 420, 8, 32, 460
"c:\Users\shet_\our-final-app\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\shet_\our-final-app\app\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 202, 4, 17, 223
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\AddSkillToLearnForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 195, 1, 21, 217
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\CategorySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 1, 5, 96
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\ManageSkillsToLearnScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 483, 21, 47, 551
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SkillChip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 1, 12, 139
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SkillsToLearnList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 241, 2, 14, 257
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SubCategorySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 1, 6, 104
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\SuggestedSkillsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 1, 11, 133
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 390, 8, 30, 428
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\skillData.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 2, 6, 168
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shet_\our-final-app\app\manage-skills-to-learn\useManageSkillsToLearn.ts", "TypeScript", 0, 0, 0, 245, 0, 0, 0, 19, 53, 317
"c:\Users\shet_\our-final-app\app\manage-skills-to-teach\AddSkillToTeachForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 196, 1, 21, 218
